movie_id,title,release_date,popularity,vote_average,vote_count,overview,original_language,genre_ids
338969,The Toxic Avenger Unrated,2025-08-28,16.2803,6.11,242,"When a downtrodden janitor, Winston Gooze, is exposed to a catastrophic toxic accident, he’s transformed into a new kind of hero: The Toxic Avenger. Now, Toxie must rise from outcast to savior, taking on ruthless corporate overlords and corrupt forces who threaten his son, his friends, and his community.",en,"[28, 35, 878]"
1241436,Warfare,2025-04-09,14.4569,7.086,1229,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",en,"[10752, 28]"
1280450,Stolen Girl,2025-09-04,14.7782,6.25,114,"In 1993, Maureen’s six-year-old daughter Amina is snuck out of the country by her ex-husband, Karim. After years of unsuccessful attempts to find her, Maureen intersects with a professional retriever of internationally abducted children who promises to help her find Amina in exchange for her collaboration.",en,"[53, 28, 12]"
1220564,The Secret Agent,2025-07-23,15.7926,7.912,131,"In 1977 Brazil, technology specialist Marcelo, fleeing a mysterious past, returns to Recife in search of peace, but realizes the city is far from the refuge he seeks.",pt,"[80, 18, 53]"
507244,Afterburn,2025-08-20,16.1797,6.6,158,"Set against the backdrop of a postapocalyptic Earth whose Eastern Hemisphere was destroyed by a massive solar flare, leaving what life remains mutated from radiation and fallout. The story revolves around a group of treasure hunters who extract such objects as the Mona Lisa, the Rosetta Stone and the Crown Jewels while facing rival hunters, mutants and pirates.",en,"[878, 28, 35]"
447273,Snow White,2025-03-19,14.6463,4.3,1494,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom.",en,"[10751, 14]"
1087891,The Amateur,2025-04-09,12.8884,6.974,1431,"After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action.",en,"[53, 28]"
1328803,Prisoner of War,2025-09-19,13.6042,7.2,130,British RAF Wing Commander James Wright is captured by the Japanese during WWII and forced to fight in brutal hand-to-hand combat. The Japanese soldiers get more than they bargained for when Wright’s years of martial arts training in Hong Kong prove him to be a formidable opponent.,en,"[28, 10752, 53, 36]"
1106289,The Pickup,2025-07-27,12.8387,6.415,423,A routine cash pickup takes a wild turn when mismatched armored truck drivers Russell and Travis are ambushed by ruthless criminals led by savvy mastermind Zoe.,en,"[28, 35, 80]"
1241470,Osiris,2025-07-25,14.2267,6.172,163,"Special Forces commandos on a mission are abducted mid-operation by a mysterious spacecraft. Upon waking aboard, they find themselves prey to a relentless alien race in a fight for survival.",en,"[878, 28, 27]"
986097,HIM,2025-09-18,13.2696,5.74,286,"After suffering a potentially career-ending brain trauma, Cameron Cade receives a lifeline when his hero, legendary eight-time Championship quarterback and cultural megastar Isaiah White, offers to train Cam at Isaiah's isolated compound that he shares with his celebrity influencer wife. But as Cam's training accelerates, Isaiah's charisma begins to curdle into something darker.",en,"[27, 9648]"
1042834,Eden,2025-04-03,12.8346,6.717,511,"A group of disillusioned outsiders abandon modern society in search of a new beginning. Settling on a remote, uninhabited island, their utopian dream quickly unravels as they discover that the greatest threat isn’t the brutal climate or deadly wildlife, but each other.",en,"[53, 18]"
937941,Shelby Oaks,2025-10-02,14.295,5.8,171,A woman's obsessive search for her missing sister leads her into a terrifying mystery at the hands of an unknown evil.,en,"[27, 9648]"
936108,Smurfs,2025-07-05,13.1238,5.853,234,"When Papa Smurf is mysteriously taken by evil wizards, Razamel and Gargamel, Smurfette leads the Smurfs on a mission into the real world to save him. With the help of new friends, the Smurfs must discover what defines their destiny to save the universe.",en,"[16, 10751, 14]"
1426776,STRAW,2025-06-05,12.2291,7.772,887,What will be her last straw? A devastatingly bad day pushes a hardworking single mother to the breaking point — and into a shocking act of desperation.,en,"[53, 18, 80]"
1088166,Relay,2025-08-21,11.8332,6.99,262,A broker of lucrative payoffs between corrupt corporations and the individuals who threaten them breaks his own rules when a new client seeks his protection to stay alive.,en,"[28, 18, 53]"
